,,,Dessert (aliment moyen),2.18
produits sucrés,céréales de petit-déjeuner,-,Céréales pour petit déjeuner équilibre aux fruits secs (à coque) | enrichis en vitamines et minéraux,0
produits sucrés,céréales de petit-déjeuner,-,Céréales pour petit déjeuner équilibre au chocolat (non enrichies en vitamines et minéraux),0.5
produits sucrés,céréales de petit-déjeuner,-,Céréales pour petit déjeuner équilibre aux fruits (non enrichies en vitamines et minéraux),2.4
produits sucrés,céréales de petit-déjeuner,-,Céréales pour petit déjeuner équilibre nature (non enrichies en vitamines et minéraux),0
produits sucrés,céréales de petit-déjeuner,-,Céréales pour petit déjeuner | enrichies en vitamines et minéraux (aliment moyen),1.23
produits sucrés,céréales de petit-déjeuner,-,Céréales pour petit déjeuner | non enrichies en vitamines et minéraux (aliment moyen),0.69
produits sucrés,céréales de petit-déjeuner,-,Pétales de maïs glacés au sucre (non enrichis en vitamines et minéraux),0
produits sucrés,céréales de petit-déjeuner,-,Muesli croustillant aux fruits et/ou fruits secs | graines (non enrichi en vitamines et minéraux),4.49
produits sucrés,céréales de petit-déjeuner,-,Muesli croustillant au chocolat (non enrichi en vitamines et minéraux),0.36
produits sucrés,céréales de petit-déjeuner,-,Muesli floconneux aux fruits ou fruits secs | enrichi en vitamines et minéraux,4.4
produits sucrés,céréales de petit-déjeuner,-,Muesli croustillant aux fruits ou fruits secs | enrichi en vitamines et minéraux,2.92
produits sucrés,céréales de petit-déjeuner,-,Muesli croustillant au chocolat | avec ou sans fruits | enrichi en vitamines et minéraux,1.03
produits sucrés,céréales de petit-déjeuner,-,Muesli floconneux aux fruits ou fruits secs | sans sucres ajoutés,6
produits sucrés,céréales de petit-déjeuner,-,Grains de blé soufflés chocolatés | enrichis en vitamines et minéraux,0.2
produits sucrés,céréales de petit-déjeuner,-,Céréales pour petit déjeuner très riches en fibres | enrichies en vitamines et minéraux,0
produits sucrés,céréales de petit-déjeuner,-,Pétales de maïs glacés au sucre | enrichis en vitamines et minéraux,0
produits sucrés,céréales de petit-déjeuner,-,Pétales de blé avec noix | noisettes ou amandes | enrichis en vitamines et minéraux,0
produits sucrés,céréales de petit-déjeuner,-,Muesli floconneux ou de type traditionnel,0
produits sucrés,céréales de petit-déjeuner,-,Boules de maïs soufflées au miel (non enrichies en vitamines et minéraux),2
produits sucrés,céréales de petit-déjeuner,-,Blé khorasan complet soufflé,0.2
produits sucrés,céréales de petit-déjeuner,-,Riz soufflé chocolaté | enrichi en vitamines et minéraux,0.23
produits sucrés,céréales de petit-déjeuner,-,Boules de maïs soufflées au miel | enrichies en vitamines et minéraux,2.03
produits sucrés,céréales de petit-déjeuner,-,Céréales complètes soufflées | enrichies en vitamines et minéraux,0
produits sucrés,céréales de petit-déjeuner,-,Multi-céréales soufflées ou extrudées | enrichies en vitamines et minéraux,0
produits sucrés,céréales de petit-déjeuner,-,Muesli croustillant | au quinoa,4.2
produits sucrés,céréales de petit-déjeuner,-,Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et minéraux),8.15
produits sucrés,céréales de petit-déjeuner,-,Muesli enrichi en vitamines et minéraux (aliment moyen),3.46
produits sucrés,céréales de petit-déjeuner,-,Flocon d'avoine précuit,0.2
produits sucrés,céréales de petit-déjeuner,-,Muesli non enrichi en vitamines et minéraux (aliment moyen),6.38
produits sucrés,barres céréalières,-,Barre céréalière pour petit déjeuner au lait | chocolatée ou non | enrichie en vitamines et minéraux,1.07
produits sucrés,barres céréalières,-,Barre céréalière équilibre aux fruits | enrichie en vitamines et minéraux,0
produits sucrés,barres céréalières,-,Barre céréalière équilibre chocolatée | enrichie en vitamines et minéraux,4.1
produits sucrés,barres céréalières,-,Barre céréalière diététique hypocalorique,0
produits sucrés,barres céréalières,-,Barre céréalière chocolatée,6.19
produits sucrés,barres céréalières,-,Barre céréalière aux fruits,11.6
produits sucrés,barres céréalières,-,Barre céréalière aux amandes ou noisettes,5.7
produits sucrés,barres céréalières,-,Barre céréalière chocolatée aux fruits,11.1
produits sucrés,gâteaux et pâtisseries,-,Baba au rhum | préemballé,0
produits sucrés,gâteaux et pâtisseries,-,Gâteau (aliment moyen),4.01
produits sucrés,gâteaux et pâtisseries,-,Gâteau Paris-Brest (pâte à choux crème mousseline praliné),0.2
produits sucrés,gâteaux et pâtisseries,-,Gâteau au chocolat type forêt noire (génoise au chocolat et crème multi-couches | avec ou sans cerises),4.3
produits sucrés,gâteaux et pâtisseries,-,Gâteau mousse de fruits sur génoise | type miroir | bavarois,2.91
produits sucrés,gâteaux et pâtisseries,-,Entremets type Opéra,0.7
produits sucrés,gâteaux et pâtisseries,-,Fraisier ou framboisier,7.8
produits sucrés,gâteaux et pâtisseries,-,Baba au rhum,3.22
produits sucrés,gâteaux et pâtisseries,-,Canelé,0.2
produits sucrés,gâteaux et pâtisseries,-,Macaron moelleux fourré à la confiture ou à la crème,1.06
produits sucrés,gâteaux et pâtisseries,-,Bûche de Noël pâtissière,1.8
produits sucrés,gâteaux et pâtisseries,-,Brownie au chocolat | préemballé,0.97
produits sucrés,gâteaux et pâtisseries,-,Rocher coco ou Congolais (petit gâteau à la noix de coco),0
produits sucrés,gâteaux et pâtisseries,-,Biscuit de Savoie,0
produits sucrés,gâteaux et pâtisseries,-,Quatre-quarts | fabrication artisanale,0.23
produits sucrés,gâteaux et pâtisseries,-,Quatre-quarts | préemballé,0.33
produits sucrés,gâteaux et pâtisseries,-,Barre pâtissière | préemballé,0.18
produits sucrés,gâteaux et pâtisseries,-,Gâteau au citron | tout type,0
produits sucrés,gâteaux et pâtisseries,-,Far aux pruneaux,5.19
produits sucrés,gâteaux et pâtisseries,-,Kouign Amann,4.64
produits sucrés,gâteaux et pâtisseries,-,Pain d'épices,18.8
produits sucrés,gâteaux et pâtisseries,-,Pain d'épices fourré ou nonette,0
produits sucrés,gâteaux et pâtisseries,-,Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop),14.9
produits sucrés,gâteaux et pâtisseries,-,Corne de gazelle (pâtisserie orientale aux amandes et sirop),0.4
produits sucrés,gâteaux et pâtisseries,-,Chou à la crème (chantilly ou pâtissière),0.53
produits sucrés,gâteaux et pâtisseries,-,Chou à la crème chantilly | Saint-honoré,0.5
produits sucrés,gâteaux et pâtisseries,-,Chou à la crème pâtissière,2.6
produits sucrés,gâteaux et pâtisseries,-,Éclair,0.8
produits sucrés,gâteaux et pâtisseries,-,Tarte aux fruits et crème pâtissière,6
produits sucrés,gâteaux et pâtisseries,-,Tarte normande aux pommes (garniture farine | oeufs | crème | sucre | calvados),2.34
produits sucrés,gâteaux et pâtisseries,-,Tarte au citron,2.1
produits sucrés,gâteaux et pâtisseries,-,Tarte ou tartelette aux pommes,4.3
produits sucrés,gâteaux et pâtisseries,-,Tarte aux fraises,7.2
produits sucrés,gâteaux et pâtisseries,-,Crumble aux pommes,3.66
produits sucrés,gâteaux et pâtisseries,-,Tarte aux abricots,6.54
produits sucrés,gâteaux et pâtisseries,-,Tarte aux fruits rouges,5
produits sucrés,gâteaux et pâtisseries,-,Tarte Tatin aux pommes,5.5
produits sucrés,gâteaux et pâtisseries,-,Tarte au chocolat | fabrication artisanale,1.8
produits sucrés,gâteaux et pâtisseries,-,Tarte ou tartelette aux fruits,6.32
produits sucrés,gâteaux et pâtisseries,-,Flan pâtissier aux oeufs ou à la parisienne,0.12
produits sucrés,gâteaux et pâtisseries,-,Charlotte aux fruits,10.2
produits sucrés,gâteaux et pâtisseries,-,Gâteau au chocolat,1.71
produits sucrés,gâteaux et pâtisseries,-,Gâteau moelleux au chocolat | préemballé,0.72
produits sucrés,gâteaux et pâtisseries,-,Gâteau au yaourt,0
produits sucrés,gâteaux et pâtisseries,-,Gâteau au fromage blanc,3.21
produits sucrés,gâteaux et pâtisseries,-,Gâteau moelleux nature type génoise,0
produits sucrés,gâteaux et pâtisseries,-,Galette des rois feuilletée,0
produits sucrés,gâteaux et pâtisseries,-,Galette des rois feuilletée | fourrée frangipane | et Pithiviers,0.5
produits sucrés,gâteaux et pâtisseries,-,Crêpe | nature | préemballée | rayon frais,0.7
produits sucrés,gâteaux et pâtisseries,-,Crêpe | nature | préemballée | rayon température ambiante,2.83
produits sucrés,gâteaux et pâtisseries,-,Galette de sarrasin | nature | préemballée,0.3
produits sucrés,gâteaux et pâtisseries,-,Gâteau basque | crème pâtissière,3.6
produits sucrés,gâteaux et pâtisseries,-,Gâteau basque | cerises,0
produits sucrés,gâteaux et pâtisseries,-,Crêpe fourrée au sucre | préemballée,0
produits sucrés,gâteaux et pâtisseries,-,Crêpe fourrée à la confiture | maison,0
produits sucrés,gâteaux et pâtisseries,-,Crêpe fourrée au chocolat ou à la pâte à tartiner chocolat et noisettes | maison,0
produits sucrés,gâteaux et pâtisseries,-,Crêpe fourrée chocolat | préemballée,0.2
produits sucrés,gâteaux et pâtisseries,-,Crêpe fourrée fraise | préemballée,0
produits sucrés,gâteaux et pâtisseries,-,Gaufre fine fourrée au miel | préemballée,10.5
produits sucrés,gâteaux et pâtisseries,-,Gaufre bruxelloise ou liégeoise | préparation artisanale,0.3
produits sucrés,gâteaux et pâtisseries,-,Gaufre moelleuse (type bruxelloise ou liégeoise) | nature ou sucrée | préemballée,0
produits sucrés,gâteaux et pâtisseries,-,Gaufre moelleuse (type bruxelloise ou liégeoise) | chocolatée | préemballée,0
produits sucrés,gâteaux et pâtisseries,-,Gaufre croustillante (fine ou sèche) | nature ou sucrée | préemballée,6.5
produits sucrés,gâteaux et pâtisseries,-,Gaufre croustillante (fine ou sèche) | chocolatée | préemballée,0
produits sucrés,gâteaux et pâtisseries,-,Beignet rond moelleux | sans fourrage | saupoudré de sucre,2.38
produits sucrés,gâteaux et pâtisseries,-,Beignet à la confiture,3.6
produits sucrés,gâteaux et pâtisseries,-,Beignet fourré aux fruits | préemballé,0
produits sucrés,gâteaux et pâtisseries,-,Beignet fourré goût chocolat | préemballé,1.59
produits sucrés,gâteaux et pâtisseries,-,Pâtisserie (aliment moyen),3.17
produits sucrés,gâteaux et pâtisseries,-,Cake aux fruits | préemballé,10.7
produits sucrés,gâteaux et pâtisseries,-,Gâteau marbré | prémballé,0.4
produits sucrés,gâteaux et pâtisseries,-,Gâteau sablé aux fruits | préemballé,0
produits sucrés,gâteaux et pâtisseries,-,Gâteau moelleux aux fruits | prémballé,9.78
produits sucrés,gâteaux et pâtisseries,-,Gâteau moelleux aux fruits à coque | prémballé,0.64
produits sucrés,gâteaux et pâtisseries,-,Gâteau moelleux fourré au chocolat ou aux pépites de chocolat ou au lait | prémballé,9.9
produits sucrés,gâteaux et pâtisseries,-,Génoise fourrée et nappée au chocolat | prémballé,2.65
produits sucrés,gâteaux et pâtisseries,-,Gâteau moelleux fourré aux fruits type mini-roulé ou mini-cake fourré | prémballé,2.5
produits sucrés,gâteaux et pâtisseries,-,Muffin | aux myrtilles ou au chocolat,0.2
produits sucrés,gâteaux et pâtisseries,-,Madeleine | pur beurre | préemballée,1.3
produits sucrés,gâteaux et pâtisseries,-,Madeleine au chocolat | préemballée,1.2
produits sucrés,gâteaux et pâtisseries,-,Madeleine ordinaire | préemballée,1.2
produits sucrés,gâteaux et pâtisseries,-,Tarte aux poires amandine,2.8
produits sucrés,gâteaux et pâtisseries,-,Gâteau aux amandes type financier,0.3
produits sucrés,gâteaux et pâtisseries,-,Gâteau aux amandes | préemballé,0
produits sucrés,gâteaux et pâtisseries,-,Mille-feuille,0.5
glaces et sorbets,-,-,Glace à l'eau ou sorbet ou crème glacée | tout parfum (aliment moyen),2.08
glaces et sorbets,glaces,-,Barre glacée chocolatée,2.47
glaces et sorbets,glaces,-,Glace ou crème glacée | bâtonnet | enrobé de chocolat,1.2
glaces et sorbets,glaces,-,Glace ou crème glacée | cône (taille standard),2.65
glaces et sorbets,glaces,-,Glace ou crème glacée | en bac,1.18
glaces et sorbets,glaces,-,Glace au yaourt,1.37
glaces et sorbets,glaces,-,Glace ou crème glacée | gourmande | en bac,0
glaces et sorbets,glaces,-,Glace ou crème glacée | gourmande | en pot,1.39
glaces et sorbets,glaces,-,Glace ou crème glacée | mini cône,0
glaces et sorbets,glaces,-,Glace ou crème glacée | pot individuel,3.28
glaces et sorbets,glaces,-,Glace ou crème glacée | bac ou pot (aliment moyen),1.25
glaces et sorbets,glaces,-,Glace ou crème glacée | petit pot enfant,0
glaces et sorbets,sorbets,-,Sorbet | bâtonnet,0.4
glaces et sorbets,sorbets,-,Sorbet | en bac,0
glaces et sorbets,sorbets,-,Sorbet | pot individuel,0
glaces et sorbets,sorbets,-,Glace à l'eau,2.1
glaces et sorbets,sorbets,-,Sorbet | cône,0
glaces et sorbets,desserts glacés,-,Profiterole avec glace vanille et sauce chocolat,0.95
glaces et sorbets,desserts glacés,-,Pêche melba,0
glaces et sorbets,desserts glacés,-,Dessert glacé type mystère ou vacherin,3.2
glaces et sorbets,desserts glacés,-,Dessert glacé | type sundae,2.4
glaces et sorbets,desserts glacés,-,Dessert glacé feuilleté | à partager,0
glaces et sorbets,desserts glacés,-,Omelette norvégienne,2.7
glaces et sorbets,desserts glacés,-,Poire belle Hélène,0
glaces et sorbets,desserts glacés,-,Nougat glacé,0
glaces et sorbets,desserts glacés,-,Citron givré ou Orange givrée (sorbet),0
glaces et sorbets,desserts glacés,-,Coupe glacée type café ou chocolat liégeois,0
glaces et sorbets,desserts glacés,-,Bûche glacée,0
glaces et sorbets,desserts glacés,-,Coupe glacée parfum pêche Melba ou poire Belle-Hélène,0
matières grasses,beurres,-,Beurre à 82% MG | doux,0.1
matières grasses,beurres,-,Huile de beurre ou Beurre concentré,0
matières grasses,beurres,-,Beurre à 80% MG | demi-sel,0.05
matières grasses,beurres,-,Beurre à 80% MG | salé,0.2
matières grasses,beurres,-,Beurre à 82% MG | doux | tendre,0
matières grasses,beurres,-,Beurre à 60-62% MG | à teneur réduite en matière grasse | doux,0.2
matières grasses,beurres,-,Beurre à 60-62% MG | à teneur réduite en matière grasse | demi-sel,0
matières grasses,beurres,-,Beurre ou assimilé allégé (léger ou à teneur reduite en matière grasse) | doux (aliment moyen),0.063
matières grasses,beurres,-,Beurre à teneur en matière grasse inconnue (allégé ou non) | demi-sel (aliment moyen),0.025
matières grasses,beurres,-,Beurre ou assimilé à teneur en matière grasse inconnue | doux (aliment moyen),0.05
matières grasses,beurres,-,Beurre à 39-41% MG | léger | doux,0.1
matières grasses,beurres,-,Matière grasse laitière à 25% MG | légère | à tartiner | doux,0.5
matières grasses,beurres,-,Matière grasse laitière à 20% MG | légère | à tartiner | doux,0.1
matières grasses,huiles et graisses végétales,-,Huile ou beurre de cacao,0
matières grasses,huiles et graisses végétales,-,Huile ou graisse de coco (coprah) | sans précision,0
matières grasses,huiles et graisses végétales,-,Huile ou graisse de coco (coprah) | raffinée,0
matières grasses,huiles et graisses végétales,-,Matière grasse ou graisse végétale solide (type margarine) pour friture,0.2
matières grasses,huiles et graisses végétales,-,Huile ou beurre de karité,0
matières grasses,huiles et graisses végétales,-,Huile pour friture | sans précision,0
matières grasses,huiles et graisses végétales,-,Huile de palme | sans précision,0
matières grasses,huiles et graisses végétales,-,Huile de palme raffinée,0
matières grasses,huiles et graisses végétales,-,Huile ou graisse de palmiste | sans précision,0
matières grasses,huiles et graisses végétales,-,Huile végétale (aliment moyen),0
matières grasses,huiles et graisses végétales,-,Huile d'amandes d'abricot,0
matières grasses,huiles et graisses végétales,-,Huile d'amande,0
matières grasses,huiles et graisses végétales,-,Huile d'arachide,0
matières grasses,huiles et graisses végétales,-,Huile d'avocat,0
matières grasses,huiles et graisses végétales,-,Huile de germe de blé,0
matières grasses,huiles et graisses végétales,-,Huile de carthame,0
matières grasses,huiles et graisses végétales,-,Huile de colza,0
matières grasses,huiles et graisses végétales,-,Huile de coton,0
matières grasses,huiles et graisses végétales,-,Huile de lin,0
matières grasses,huiles et graisses végétales,-,Huile de maïs,0
matières grasses,huiles et graisses végétales,-,Huile de noisette,0
matières grasses,huiles et graisses végétales,-,Huile de noix,0
matières grasses,huiles et graisses végétales,-,Huile d'olive vierge extra,0
matières grasses,huiles et graisses végétales,-,Huile de pavot,0
matières grasses,huiles et graisses végétales,-,Huile de pépins de raisin,0
matières grasses,huiles et graisses végétales,-,Huile de son de riz,0
matières grasses,huiles et graisses végétales,-,Huile de sésame,0
matières grasses,huiles et graisses végétales,-,Huile de soja,0
matières grasses,huiles et graisses végétales,-,Huile de tournesol,0
matières grasses,huiles et graisses végétales,-,Huile combinée (mélange d'huiles),0
matières grasses,huiles et graisses végétales,-,Huile combinée | mélange d'huile d'olive et de graines,0
matières grasses,huiles et graisses végétales,-,Huile d'argan ou d'argane,0
matières grasses,margarines,-,Matière grasse végétale (type margarine) à 80% MG | salée,0
matières grasses,margarines,-,Matière grasse végétale ou margarine | 80% MG | doux,0
matières grasses,margarines,-,Matière grasse végétale (type margarine) à 70% MG | doux,0
matières grasses,margarines,-,Matière grasse végétale (type margarine) à 60% de MG | allégée | au tournesol | doux,0.2
matières grasses,margarines,-,Matière grasse végétale (type margarine) | teneur en matière grasse inconue | doux (aliment moyen),0
matières grasses,margarines,-,Matière grasse végétale (type margarine) | teneur réduite en matière grasse inconnue | doux (aliment moyen),0.05
matières grasses,margarines,-,Matière grasse végétale (type margarine) | à tartiner | à 30-40% MG | légère | doux,0.1
matières grasses,margarines,-,Matière grasse végétale (type margarine) | à tartiner | à 30-40% MG | légère | demi-sel,0
matières grasses,margarines,-,Matière grasse végétale (type margarine) | à tartiner | à 30-40% MG | légère | doux | riche en oméga 3,0
matières grasses,margarines,-,Matière grasse végétale (type margarine) à 50-63% MG | allégée | doux | riche en oméga 3,0
matières grasses,margarines,-,Matière grasse végétale (type margarine) à 50-63% MG | allégée | demi-sel,0.5
matières grasses,margarines,-,Matière grasse végétale (type margarine) à 50-63% MG | allégée | doux | aux esters de stérol végétal,0.2
matières grasses,margarines,-,Matière grasse végétale (type margarine) à 50-63% MG | allégée | demi-sel | riche en oméga 3,0
matières grasses,margarines,-,Matière grasse végétale (type margarine) à 50-63% MG | allégée | doux,0.1
matières grasses,margarines,-,Matière grasse végétale (type margarine) à 30-40% MG | légère | demi-sel | aux esters de stérol végétal,0
matières grasses,margarines,-,Matière grasse mélangée (végétale et laitière) à 50-63% MG,0.2
matières grasses,margarines,-,Matière grasse mélangée (végétale et laitière) à 50-63% MG | demi-sel,0
matières grasses,margarines,-,Matière grasse mélangée (végétale et laitière) | à tartiner | à 30-40% MG,0.2
matières grasses,margarines,-,Matière grasse mélangée (végétale et laitière) | à tartiner | à 30-40% MG | demi-sel,0
matières grasses,huiles de poissons,-,Huile de foie de morue,0
matières grasses,huiles de poissons,-,Huile de sardine,0
matières grasses,huiles de poissons,-,Huile de saumon,0
matières grasses,huiles de poissons,-,Huile de hareng,0
matières grasses,autres matières grasses,-,Saindoux,0
matières grasses,autres matières grasses,-,Lard gras | cru,0
matières grasses,autres matières grasses,-,Graisse de poulet,0
matières grasses,autres matières grasses,-,Graisse de canard,0
matières grasses,autres matières grasses,-,Graisse d'oie,0
matières grasses,autres matières grasses,-,Graisse de dinde,0
matières grasses,autres matières grasses,-,Huile de paraffine,0
aides culinaires et ingrédients divers,sauces,-,Sauce (aliment moyen),1.46
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Ketchup | préemballé,4.9
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce tartare | préemballée,1.37
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Mayonnaise (70% MG min.) | préemballée,0.2
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Ketchup allégé en sucres | préemballé,0
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée | préemballée,1.2
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce barbecue | préemballée,5.6
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce soja | préemballée,0.75
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce vinaigrette à l'huile d'olive (50 à 75% d'huile) | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce vinaigrette allégée en MG (25 à 50% d'huile) | préemballée,1.05
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce vinaigrette (50 à 75% d'huile) | préemballée,0.2
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Harissa (sauce condimentaire) | préemballée,6.5
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce bourguignonne | préemballée,2.3
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce moutarde | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce au yaourt,0
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce américaine | préemballée,2.05
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce aïoli | préemballée,0.95
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce crudités ou Sauce salade | préemballée,1.7
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce Nuoc Mâm ou Sauce au poisson | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce burger | préemballée,1.07
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce crudités ou Sauce salade | allégée en matière grasse | préemballée,0.5
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce kebab | préemballée,2.26
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce rouille | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce au poivre | condimentaire | froide | préemballée,0.92
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce froide (aliment moyen),1.47
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Caviar de tomates,2.3
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce soja sucrée | préemballée,8.5
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce pour nems à base de nuoc-mam dilué | préemballée,4.6
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce végétale type bolognaise | préemballée,2.27
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Sauce teriyaki | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Tzatziki | à base yaourt | préemballé,0.5
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Tzatziki | à base fromage frais | préemballé,0.3
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Guacamole | préemballé,0.6
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Houmous | préemballé,0.3
aides culinaires et ingrédients divers,sauces,sauces condimentaires,Caviar d'aubergine | préemballé,0.85
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce béchamel | préemballée,0.1
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce béarnaise | préemballée,0.58
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce hollandaise | préemballée,0.2
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce tomate aux oignons | préemballée,2.13
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce armoricaine | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce tomate à la viande ou Sauce bolognaise | préemballée,1.79
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce au poivre vert | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce madère | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce à l'échalote à la crème | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce carbonara | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce chasseur | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce au curry | préemballée,2.92
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce au beurre blanc | préemballée,0.25
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce béchamel | maison,0
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce au beurre | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce à la crème,0
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce aux champignons | préemballée,1.32
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce à la crème aux épices,0
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce à la crème aux herbes,0
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce aigre douce | préemballée,4.92
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce au vin rouge,0
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce basquaise ou Sauce aux poivrons | préemballée,2.11
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce tomate aux champignons | préemballée,1.76
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce tomate aux olives | préemballée,1.47
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce pesto | préemballée,0.9
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce au poivre | chaude | préemballée,0.28
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce au fromage pour risotto ou pâtes | préemballée,0.1
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce au roquefort | préemballée,0.3
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce aux champignons et à la crème | préemballée,0.14
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce grand veneur | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce indienne type tandoori ou tikka masala | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce tomate aux petits légumes | préemballée,1.78
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce tomate au fromage | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce pesto rosso | préemballée,1.3
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce chaude (aliment moyen),1.45
aides culinaires et ingrédients divers,sauces,sauces chaudes,Sauce à l'oseille | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces chaudes,Céleri rémoulade | préemballé,0.4
aides culinaires et ingrédients divers,sauces,sauces chaudes,Meloukhia | sauce | artisanale,1.2
aides culinaires et ingrédients divers,sauces,sauces sucrées,Sauce au chocolat | préemballée,0
aides culinaires et ingrédients divers,sauces,sauces sucrées,Crème anglaise | préemballée,0.3
aides culinaires et ingrédients divers,condiments,-,Cornichon | au vinaigre,0.2
aides culinaires et ingrédients divers,condiments,-,Moutarde,0.86
aides culinaires et ingrédients divers,condiments,-,Vinaigre,0.1
aides culinaires et ingrédients divers,condiments,-,Moutarde à l'ancienne,1.36
aides culinaires et ingrédients divers,condiments,-,Câpres | au vinaigre,0
aides culinaires et ingrédients divers,condiments,-,Tapenade,0.3
aides culinaires et ingrédients divers,condiments,-,Oignon au vinaigre,0.28
aides culinaires et ingrédients divers,condiments,-,Vinaigre de cidre,0.1
aides culinaires et ingrédients divers,condiments,-,Vinaigre balsamique,9.59
aides culinaires et ingrédients divers,condiments,-,Cornichon | aigre-doux,0
aides culinaires et ingrédients divers,condiments,-,Vinaigre de vin rouge,0.5
aides culinaires et ingrédients divers,condiments,-,Olive noire | en saumure | égouttée,0
aides culinaires et ingrédients divers,condiments,-,Olive verte | en saumure | égouttée,0.1
aides culinaires et ingrédients divers,condiments,-,Olive noire | à l'huile (à la grecque),0.3
aides culinaires et ingrédients divers,condiments,-,Olives vertes | fourrées ou farcies (anchois | poivrons | etc.),0.2
aides culinaires et ingrédients divers,condiments,-,Olive (aliment moyen),0.063
aides culinaires et ingrédients divers,condiments,-,Olive noire (aliment moyen),0
aides culinaires et ingrédients divers,aides culinaires,-,Bouillon de boeuf | déshydraté,0.27
aides culinaires et ingrédients divers,aides culinaires,-,Fond de veau pour sauces et cuisson | déshydraté,0.7
